,Ticker,Name,Industry,SubIndustry,IPODate
0,MMM,3M,Industrials,Industrial Conglomerates,1957-03-04
1,AOS,A. O. Smith,Industrials,Building Products,2017-07-26
2,ABT,Abbott,Health Care,Health Care Equipment,1957-03-04
3,ABBV,AbbVie,Health Care,Biotechnology,2012-12-31
4,ACN,Accenture,Information Technology,IT Consulting & Other Services,2011-07-06
5,ADBE,Adobe Inc.,Information Technology,Application Software,1997-05-05
6,AMD,Advanced Micro Devices,Information Technology,Semiconductors,2017-03-20
7,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1998-10-02
8,AFL,Aflac,Financials,Life & Health Insurance,1999-05-28
9,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2000-06-05
10,APD,Air Products and Chemicals,Materials,Industrial Gases,1985-04-30
11,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2023-09-18
12,AKAM,Akamai,Information Technology,Internet Services & Infrastructure,2007-07-12
13,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2016-07-01
14,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2017-03-20
15,ALGN,Align Technology,Health Care,Health Care Supplies,2017-06-19
16,ALLE,Allegion,Industrials,Building Products,2013-12-02
17,LNT,Alliant Energy,Utilities,Electric Utilities,2016-07-01
18,ALL,Allstate,Financials,Property & Casualty Insurance,1995-07-13
19,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2014-04-03
20,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2006-04-03
21,MO,Altria,Consumer Staples,Tobacco,1957-03-04
22,AMZN,Amazon,Consumer Discretionary,Broadline Retail,2005-11-18
23,AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,2019-06-07
24,AEE,Ameren,Utilities,Multi-Utilities,1991-09-19
25,AAL,American Airlines Group,Industrials,Passenger Airlines,2015-03-23
26,AEP,American Electric Power,Utilities,Electric Utilities,1957-03-04
27,AXP,American Express,Financials,Consumer Finance,1976-06-30
28,AIG,American International Group,Financials,Multi-line Insurance,1980-03-31
29,AMT,American Tower,Real Estate,Telecom Tower REITs,2007-11-19
30,AWK,American Water Works,Utilities,Water Utilities,2016-03-04
31,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2005-10-03
32,AME,Ametek,Industrials,Electrical Components & Equipment,2013-09-23
33,AMGN,Amgen,Health Care,Biotechnology,1992-01-02
34,APH,Amphenol,Information Technology,Electronic Components,2008-09-30
35,ADI,Analog Devices,Information Technology,Semiconductors,1999-10-12
36,ANSS,Ansys,Information Technology,Application Software,2017-06-19
37,AON,Aon,Financials,Insurance Brokers,1996-04-23
38,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1997-07-28
39,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1982-11-30
40,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,1995-03-16
41,APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,2012-12-24
42,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2022-11-01
43,ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,1957-03-04
44,ANET,Arista Networks,Information Technology,Communications Equipment,2018-08-28
45,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2016-05-31
46,AIZ,Assurant,Financials,Multi-line Insurance,2007-04-10
47,T,AT&T,Communication Services,Integrated Telecommunication Services,1983-11-30
48,ATO,Atmos Energy,Utilities,Gas Utilities,2019-02-15
49,ADSK,Autodesk,Information Technology,Application Software,1989-12-01
50,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,1981-03-31
51,AZO,AutoZone,Consumer Discretionary,Automotive Retail,1997-01-02
52,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2007-01-10
53,AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,1987-12-31
54,AXON,Axon Enterprise,Industrials,Aerospace & Defense,2023-05-04
55,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2017-07-07
56,BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",1984-10-31
57,BAC,Bank of America,Financials,Diversified Banks,1976-06-30
58,BK,Bank of New York Mellon,Financials,Asset Management & Custody Banks,1995-03-31
59,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,1983-09-30
60,BAX,Baxter International,Health Care,Health Care Equipment,1972-09-30
61,BDX,Becton Dickinson,Health Care,Health Care Equipment,1972-09-30
62,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2010-02-16
63,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1999-06-29
64,BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,2020-06-22
65,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2021-08-30
66,BIIB,Biogen,Health Care,Biotechnology,2003-11-13
67,BLK,BlackRock,Financials,Asset Management & Custody Banks,2011-04-04
68,BX,Blackstone,Financials,Asset Management & Custody Banks,2023-09-18
69,BA,Boeing,Industrials,Aerospace & Defense,1957-03-04
70,BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2009-11-06
71,BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,2011-12-19
72,BXP,Boston Properties,Real Estate,Office REITs,2006-04-03
73,BSX,Boston Scientific,Health Care,Health Care Equipment,1995-02-24
74,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,1957-03-04
75,AVGO,Broadcom Inc.,Information Technology,Semiconductors,2014-05-08
76,BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,2018-06-18
77,BRO,Brown & Brown,Financials,Insurance Brokers,2021-09-20
78,BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,1982-10-31
79,BLDR,Builders FirstSource,Industrials,Building Products,2023-12-18
80,BG,Bunge Global SA,Consumer Staples,Agricultural Products & Services,2023-03-15
81,CDNS,Cadence Design Systems,Information Technology,Application Software,2017-09-18
82,CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,2021-03-22
83,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,2022-04-04
84,CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,1957-03-04
85,COF,Capital One,Financials,Consumer Finance,1998-07-01
86,CAH,Cardinal Health,Health Care,Health Care Distributors,1997-05-27
87,KMX,CarMax,Consumer Discretionary,Automotive Retail,2010-06-28
